kaijo-angler-bouncereport,,
Last Run On,2026-05-03 22:44:43,
Total Results Found,85,
Total Results Returned,85,
Tokens per quota,1 consumed,199997 remaining
Tokens per hour quota,1 consumed,199997 remaining
,,
,,
,,
Totals For All Results,,
,bounceRate,averageSessionDuration
,0.6617647059,27.51825132
,,
Results Breakdown,,
pagePath,bounceRate,averageSessionDuration
/2025/07/kansai/kojima-yougyo/,1,9.356184
/2025/07/kansai/tottopark-osaka/,1,0
/blog/himeji-city-fishing-center/,1,6.489898
/blog/ishidai-strategy/advanced,1,0
/blog/kaijo-tsuribori-taikoubou/,1,9.096721
/blog/kamae-sea-fishing-tsunchaoh/,1,0
/blog/shimaji/gourmet/,1,0
/blog/shinmaiko-marine-park-fishing/,1,0
/blog/tactics/beginner/,1,9.157072
/blog/tsuribori-hamakatsu/,1,0
/blog/tsuribori-kishu/,1,0
/blog/waita-sea-fishing-pier/,1,0
/fishing-facility/akaguri-sea-fishing-park/,1,4.912048
/fishing-facility/center-japan/fukui/akaguri-sea-fishing-park/,1,0
/fishing-facility/center-japan/fukui/seapark-nyu,1,0
/fishing-facility/jumbo-fishing-mura/,1,0
/fishing-facility/kaijo-tsuribori-opa/,1,0
/fishing-facility/motobu-fishing-ikada-umiseikatsu/,1,0
/fishing-facility/nanko-fishing-park/,1,0
/fishing-facility/west-japan/fukuoka/fukuoka-city-sea-fishing-park/,1,1.675554
/fishing-facility/west-japan/hiroshima/shimanami-kaido-fishing-park/,1,0
/fishing-facility/west-japan/mie/kaijo-tsuribori-monkey,1,3.033737
/fishing-facility/west-japan/mie/tsuribori-denpachiya/,1,0
/fishing-facility/west-japan/nagasaki/shinkamigoto-sea-fishing-pond,1,0.000458
/fishing-facility/west-japan/shikoku-area/kochi/kaijo-tsuribori-yukimaru/,1,0
/fishing-facility/west-japan/wakayama/saikakizaki-seapark/,1,0
/page/10/,1,4.328014
/page/14/,1,0
/page/18/,1,0
/page/5/,1,0
/tag/24時間営業/,1,4.525413
/tag/まとめ記事/,1,2.637961
/tag/イベント充実/,1,0
/tag/バリアフリー/,1,0
/tag/九州地方/,1,0
/tag/九州地方釣り/,1,0
/tag/初心者向け/,1,0
/tag/大分県/,1,0
/tag/完全予約制/,1,0
/tag/家族連れ/,1,5.268049
/tag/新潟県/,1,0
/tag/石川県/,1,0
/tag/福井県/,1,0
/tag/福岡県/,1,0
/tag/筏釣り/,1,0
/tag/観光地/,1,0
/tag/観光釣り/,1,0
/tag/釣り旅行/,1,0
/tag/関西釣り堀/,1,0
/tag/駅近/,1,0
/tag/高級魚/,1,0
/tag/魚下処理サービス/,1,0
/blog/nanko-fishing-park/,0.6666666667,13.42420367
/blog/ishidai-strategy/,0.5,48.7870405
/fishing-facility/susawan-fishing-park/,0.5,35.535829
/fishing-facility/west-japan/hyogo/kaijo-tsuribori-at-sea/,0.5,11.3516385
/blog/sea-fishing-park-mikata/,0.4285714286,53.14881579
/fishing-facility/tsuri-ikada-fukaura/,0.3333333333,71.970329
/fishing-facility/hiruga-sea-fishing-pond/,0.1666666667,41.70395083
/blog/bakucho-mihama-fishing-park/,0,79.51165
/blog/family-tsuribori-tsutteminde/,0,32.334195
/blog/fishing-park-hikari/,0,77.2731065
/blog/fishing-park-triton/,0,27.112556
/blog/kaijo-tsuribori-kaiyu/,0,50.10589
/blog/notojima-sea-fishing-center/,0,42.346692
/blog/searoad-yawatahama/,0,26.011319
/blog/shimonoseki-fishing-park/,0,23.116588
/blog/shinojima-tsuri-tengoku/,0,73.115868
/blog/tactics/beginner/fishing-etiquette/,0,88.317509
/blog/takashima-tobishima-isotsuri-park/,0,125.435761
/blog/tsuribori-maruyo/,0,147.400285
/blog/tsuruga-city-sea-fishing-park/,0,63.475522
/blog/umingu-oshima/,0,57.343355
/blog/umizuri-port-tajiri/,0,56.426151
/blog/wakayama-marinacity-fishing-park/,0,131.04999
/blog/yura-marine-fishing-pond/,0,217.213181
/fishing-facility/fishing-park-omishima/,0,121.908419
/fishing-facility/ishida-fisherina/,0,169.146979
/fishing-facility/kamoike-sea-fishing-park/,0,34.302012
/fishing-facility/sea-fishing-park-mikata/,0,22.585976
/fishing-facility/shimonoseki-fishing-park/,0,48.415873
/fishing-facility/tsuruga-city-sea-fishing-park/,0,31.621283
/fishing-facility/wakayama-marinacity-fishing-park/,0,109.315257
/fishing-facility/west-japan/okinawa/itoman-ikada-tsurigu-no-zousan,0,9.815542
/tactics/fish-strategy/shimaji/,0,254.757394